0,38
1,97
2,93
3,98
4,100
5,17
6,98
7,64
8,28
9,47
10,98
11,53
12,69
13,99
14,17
15,27
16,28
17,88
18,4
19,13
20,85
21,95
22,4
23,73
24,37
25,73
26,24
27,40
28,30
29,2
30,94
31,83
32,62
33,10
34,68
35,2
36,59
37,59
38,29
39,60
40,1
41,33
42,38
43,24
44,52
45,51
46,0
47,4
48,2
49,49
50,7
51,73
52,29
53,43
54,29
55,40
56,7
57,8
58,47
59,38
60,21
61,20
62,43
63,49
64,52
65,61
66,68
67,3
68,39
69,84
70,85
71,83
72,62
73,76
74,39
75,13
76,11
77,4
78,84
79,30
80,92
81,57
82,56
83,14
84,11
85,89
86,0
87,47
88,20
89,33
90,21
91,92
92,89
93,16
94,20
95,47
96,100
97,84
98,50
99,70
